gid,ctlabel,borocode,boroname,ct2010,boroct2010,cdeligibil,ntacode,ntaname,puma
1,9,5,Staten Island,900,5000900,I,SI22,West New Brighton-New Brighton-St. George,3903
2,125,5,Staten Island,12500,5012500,I,SI22,West New Brighton-New Brighton-St. George,3903
3,133.01,5,Staten Island,13301,5013301,E,SI22,West New Brighton-New Brighton-St. George,3903
4,197,5,Staten Island,19700,5019700,I,SI07,Westerleigh,3903
5,20.02,5,Staten Island,2002,5002002,I,SI14,Grasmere-Arrochar-Ft. Wadsworth,3902
6,64,5,Staten Island,6400,5006400,I,SI14,Grasmere-Arrochar-Ft. Wadsworth,3902
7,74,5,Staten Island,7400,5007400,I,SI14,Grasmere-Arrochar-Ft. Wadsworth,3902
24,140,1,Manhattan,14000,1014000,I,MN40,Upper East Side-Carnegie Hill,3805
8,187.01,5,Staten Island,18701,5018701,I,SI07,Westerleigh,3903
9,22.02,1,Manhattan,2202,1002202,I,MN28,Lower East Side,3809
10,32,1,Manhattan,3200,1003200,I,MN22,East Village,3809
11,68,1,Manhattan,6800,1006800,I,MN21,Gramercy,3808
12,89,1,Manhattan,8900,1008900,I,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3807
13,96,1,Manhattan,9600,1009600,E,MN17,Midtown-Midtown South,3807
14,98,1,Manhattan,9800,1009800,I,MN19,Turtle Bay-East Midtown,3808
15,100,1,Manhattan,10000,1010000,I,MN19,Turtle Bay-East Midtown,3808
16,102,1,Manhattan,10200,1010200,I,MN17,Midtown-Midtown South,3807
17,104,1,Manhattan,10400,1010400,I,MN17,Midtown-Midtown South,3807
18,112.01,1,Manhattan,11201,1011201,I,MN17,Midtown-Midtown South,3807
19,112.02,1,Manhattan,11202,1011202,I,MN17,Midtown-Midtown South,3807
20,112.03,1,Manhattan,11203,1011203,I,MN19,Turtle Bay-East Midtown,3808
21,113,1,Manhattan,11300,1011300,I,MN17,Midtown-Midtown South,3807
22,114.02,1,Manhattan,11402,1011402,I,MN40,Upper East Side-Carnegie Hill,3805
23,130,1,Manhattan,13000,1013000,I,MN40,Upper East Side-Carnegie Hill,3805
25,142,1,Manhattan,14200,1014200,I,MN40,Upper East Side-Carnegie Hill,3805
26,146.01,1,Manhattan,14601,1014601,I,MN32,Yorkville,3805
27,146.02,1,Manhattan,14602,1014602,I,MN32,Yorkville,3805
28,148.01,1,Manhattan,14801,1014801,I,MN40,Upper East Side-Carnegie Hill,3805
29,148.02,1,Manhattan,14802,1014802,I,MN40,Upper East Side-Carnegie Hill,3805
30,153,1,Manhattan,15300,1015300,I,MN14,Lincoln Square,3806
31,154,1,Manhattan,15400,1015400,I,MN32,Yorkville,3805
32,156.01,1,Manhattan,15601,1015601,I,MN32,Yorkville,3805
33,156.02,1,Manhattan,15602,1015602,E,MN33,East Harlem South,3804
34,160.01,1,Manhattan,16001,1016001,I,MN40,Upper East Side-Carnegie Hill,3805
35,184,1,Manhattan,18400,1018400,E,MN34,East Harlem North,3804
36,190,1,Manhattan,19000,1019000,I,MN11,Central Harlem South,3803
37,201.01,1,Manhattan,20101,1020101,I,MN09,Morningside Heights,3802
38,201.02,1,Manhattan,20102,1020102,E,MN11,Central Harlem South,3803
39,206,1,Manhattan,20600,1020600,E,MN03,Central Harlem North-Polo Grounds,3803
40,218,1,Manhattan,21800,1021800,E,MN11,Central Harlem South,3803
41,220,1,Manhattan,22000,1022000,E,MN11,Central Harlem South,3803
42,229,1,Manhattan,22900,1022900,E,MN04,Hamilton Heights,3802
43,234,1,Manhattan,23400,1023400,E,MN03,Central Harlem North-Polo Grounds,3803
44,239,1,Manhattan,23900,1023900,E,MN36,Washington Heights South,3801
45,249,1,Manhattan,24900,1024900,E,MN36,Washington Heights South,3801
46,253,1,Manhattan,25300,1025300,E,MN36,Washington Heights South,3801
47,257,1,Manhattan,25700,1025700,E,MN11,Central Harlem South,3803
48,261,1,Manhattan,26100,1026100,E,MN36,Washington Heights South,3801
49,263,1,Manhattan,26300,1026300,E,MN36,Washington Heights South,3801
50,267,1,Manhattan,26700,1026700,E,MN35,Washington Heights North,3801
51,269,1,Manhattan,26900,1026900,E,MN35,Washington Heights North,3801
52,277,1,Manhattan,27700,1027700,E,MN35,Washington Heights North,3801
67,76,3,Brooklyn,7600,3007600,E,BK32,Sunset Park West,4012
53,2,3,Brooklyn,200,3000200,I,BK32,Sunset Park West,4012
54,5.01,3,Brooklyn,501,3000501,I,BK09,Brooklyn Heights-Cobble Hill,4004
55,20,3,Brooklyn,2000,3002000,E,BK32,Sunset Park West,4012
56,41,3,Brooklyn,4100,3004100,I,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,4004
57,52.01,3,Brooklyn,5201,3005201,E,BK31,Bay Ridge,4013
58,52.02,3,Brooklyn,5202,3005202,I,BK31,Bay Ridge,4013
59,58,3,Brooklyn,5800,3005800,E,BK31,Bay Ridge,4013
60,60,3,Brooklyn,6000,3006000,I,BK31,Bay Ridge,4013
61,62,3,Brooklyn,6200,3006200,I,BK31,Bay Ridge,4013
62,64,3,Brooklyn,6400,3006400,I,BK31,Bay Ridge,4013
63,65,3,Brooklyn,6500,3006500,I,BK33,Carroll Gardens-Columbia Street-Red Hook,4005
64,67,3,Brooklyn,6700,3006700,I,BK33,Carroll Gardens-Columbia Street-Red Hook,4005
65,69,3,Brooklyn,6900,3006900,I,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,4004
66,74,3,Brooklyn,7400,3007400,E,BK32,Sunset Park West,4012
68,78,3,Brooklyn,7800,3007800,E,BK32,Sunset Park West,4012
69,80,3,Brooklyn,8000,3008000,E,BK32,Sunset Park West,4012
70,98,3,Brooklyn,9800,3009800,E,BK34,Sunset Park East,4012
71,100,3,Brooklyn,10000,3010000,E,BK34,Sunset Park East,4012
72,101,3,Brooklyn,10100,3010100,E,BK32,Sunset Park West,4012
73,102,3,Brooklyn,10200,3010200,E,BK34,Sunset Park East,4012
74,104,3,Brooklyn,10400,3010400,E,BK34,Sunset Park East,4012
75,106,3,Brooklyn,10600,3010600,E,BK34,Sunset Park East,4012
76,108,3,Brooklyn,10800,3010800,E,BK34,Sunset Park East,4012
77,110,3,Brooklyn,11000,3011000,E,BK34,Sunset Park East,4012
78,114,3,Brooklyn,11400,3011400,E,BK88,Borough Park,4014
79,116,3,Brooklyn,11600,3011600,E,BK88,Borough Park,4014
80,117,3,Brooklyn,11700,3011700,I,BK37,Park Slope-Gowanus,4005
81,118,3,Brooklyn,11800,3011800,E,BK34,Sunset Park East,4012
82,121,3,Brooklyn,12100,3012100,I,BK37,Park Slope-Gowanus,4005
83,128.01,3,Brooklyn,12801,3012801,I,BK30,Dyker Heights,4013
84,130,3,Brooklyn,13000,3013000,E,BK31,Bay Ridge,4013
85,132,3,Brooklyn,13200,3013200,E,BK30,Dyker Heights,4013
86,133,3,Brooklyn,13300,3013300,I,BK37,Park Slope-Gowanus,4005
87,136,3,Brooklyn,13600,3013600,I,BK31,Bay Ridge,4013
88,137,3,Brooklyn,13700,3013700,I,BK37,Park Slope-Gowanus,4005
89,138,3,Brooklyn,13800,3013800,E,BK31,Bay Ridge,4013
90,139,3,Brooklyn,13900,3013900,E,BK37,Park Slope-Gowanus,4005
91,151,3,Brooklyn,15100,3015100,I,BK37,Park Slope-Gowanus,4005
92,153,3,Brooklyn,15300,3015300,I,BK37,Park Slope-Gowanus,4005
93,155,3,Brooklyn,15500,3015500,I,BK37,Park Slope-Gowanus,4005
94,157,3,Brooklyn,15700,3015700,I,BK37,Park Slope-Gowanus,4005
95,165,3,Brooklyn,16500,3016500,I,BK37,Park Slope-Gowanus,4005
96,170,3,Brooklyn,17000,3017000,I,BK27,Bath Beach,4017
97,172,3,Brooklyn,17200,3017200,E,BK27,Bath Beach,4017
98,178,3,Brooklyn,17800,3017800,E,BK27,Bath Beach,4017
99,180,3,Brooklyn,18000,3018000,E,BK27,Bath Beach,4017
100,182,3,Brooklyn,18200,3018200,E,BK28,Bensonhurst West,4017
101,184,3,Brooklyn,18400,3018400,E,BK28,Bensonhurst West,4017
102,186,3,Brooklyn,18600,3018600,I,BK28,Bensonhurst West,4017
103,188,3,Brooklyn,18800,3018800,I,BK28,Bensonhurst West,4017
104,190,3,Brooklyn,19000,3019000,E,BK28,Bensonhurst West,4017
105,192,3,Brooklyn,19200,3019200,E,BK88,Borough Park,4014
106,194,3,Brooklyn,19400,3019400,E,BK30,Dyker Heights,4013
107,195,3,Brooklyn,19500,3019500,E,BK69,Clinton Hill,4004
108,196,3,Brooklyn,19600,3019600,E,BK30,Dyker Heights,4013
109,197,3,Brooklyn,19700,3019700,I,BK69,Clinton Hill,4004
110,198,3,Brooklyn,19800,3019800,E,BK30,Dyker Heights,4013
111,201,3,Brooklyn,20100,3020100,I,BK69,Clinton Hill,4004
112,204,3,Brooklyn,20400,3020400,I,BK30,Dyker Heights,4013
113,208,3,Brooklyn,20800,3020800,I,BK30,Dyker Heights,4013
114,210,3,Brooklyn,21000,3021000,E,BK30,Dyker Heights,4013
